#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,alsa-utils,"audio controls"
,vifm,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,calcurse,"is a lightweight terminal-based calendar."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dunst,"is a suckless notification system."
,lxappearance-gtk3,"gtk theme setter"
,sxiv,"is a minimalist image viewer."
,feh,"sets wallpaper"
,pass,"password manager"
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,transmission-cli,"torrent client"
,ttf-font-awesome,"icon font"
,ttf-inconsolata,"font"
,ttf-joypixels,"emoji font"
,udiskie,"manage usb mounting"
,ueberzug,"display images in terminal"
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
A,simple-mtpfs-git,"enables the mounting of cell phones."
A,dragon-drag-and-drop,"allows drag and drop from the terminal"
A,gotop-git,"system monitor"
A,libxft-bgra,"fix for emoji displaying"
A,nerd-fonts-complete,"icons font"
A,nerd-fonts-mononoki,"icons font"
A,qt5-styleplugins,"allow qt apps to look like gtk"
A,tremc,"transmission client"
A,wpgtk-git,"cool pywal wrapper"
G,https://github.com/ptethng/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/ptethng/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/ptethng/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ptethng/dwm.git,"is the window manager."
G,https://github.com/ptethng/slock.git,"screen lock"
